LMIcaseid,URL,Casetitle,Civilaction,Venue,YearFiled,Filingdate,Declaratoryjudgment,NPECode,Patents,# Of Patents,PrimaryPatent,Patent Url,IPC,PrimaryClass,First4level,Formatted 1st4Lvl,Filingdate1,B4,B3,B2,B1,O1,A1,A2,A3,A4,Casetitle1,Casetitle2,y,tag,dup
2000081829,http://law.lexmachina.com/cases/2000081829,"Rothschild Location Technologies LLC v. Quartix, Inc.",6:15-cv-00831,E.D.Tex.,2015,  9/3/2015,0,5,8606503,1,8606503,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8606503,G01C 21/00 (20060101); G08G 1/123 (20060101),G01C 21/00,G01C 21,G01C  21,9/3/2015,2184,2320,2160,2213,2365,2947,2344,2108,1817,Rothschild Location Technologies LLC,"Quartix, Inc.",1359,0,2
2000081861,http://law.lexmachina.com/cases/2000083909,"Bragel International, Inc. v. AGaci LLC",2:15-cv-08439,C.D.Cal.,2015,10/28/2015,0,8,7144296,1,7144296,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7144296,A41C 3/10 (20060101); A41C 3/14 (20060101),A41C 3/10 ,A41C 3,A41C   3,10/28/2015,372,191,400,533,545,340,524,404,401,"Bragel International, Inc.",AGaci LLC,2192,1,1
2000081911,http://law.lexmachina.com/cases/3297,"Condensing Heat Exchanger v. Combustion and Energy Systems, Ltd",3:04-cv-30084,D.Mass.,2004,  5/5/2004,0,8,"4669530,4776391",2,4669530,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=4669530,B01D 53/00 (20060101); B01D 53/50 (20060101); F28F 9/007 (20060101); F28F 19/00 (20060101); F28F 19/04 (20060101); F23J 15/06 (20060101); F28F 9/013 (20060101); F28D 7/16 (20060101); F28D 7/00 (20060101); F28D 7/08 (20060101); F28D 21/00 (20060101); F28F 013/18 (); F28B 001/00 (),B01D 53/00 ,B01D 53,B01D  53,5/5/2004,4936,3745,4084,3329,3529,3156,3507,3937,3210,Condensing Heat Exchanger,"Combustion and Energy Systems, Ltd",2460,1,0
2000081953,http://law.lexmachina.com/cases/18078,"Magnum Piering, Inc. v. Design Piering of Atlanta, Inc. et al",1:04-cv-03284,N.D.Ga.,2004, 11/9/2004,0,8,"4711603,5234287",2,4711603,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=4711603,E02D 35/00 (20060101); E01C 23/10 (20060101); E01C 23/00 (20060101); E02D 007/02 (),E02D 35/00 ,E02D 35,E02D  35,11/9/2004,14,23,10,10,14,15,12,12,12,"Magnum Piering, Inc.","Design Piering of Atlanta, Inc. et al",3879,1,0
2000081977,http://law.lexmachina.com/cases/22155,"KIWO Inc. v. PlanetB Technologies, Inc.",2:07-cv-06880,C.D.Cal.,2007,10/23/2007,0,8,5156089,1,5156089,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5156089,B41C 1/14 (20060101); B41C 001/04 (); B41C 001/14 (),B41C 1/14 ,B41C 1,B41C   1,10/23/2007,193,204,191,196,168,165,127,237,164,KIWO Inc.,"PlanetB Technologies, Inc.",3660,1,0
2000082007,http://law.lexmachina.com/cases/2000082007,"Wi-LAN USA, Inc. v. Vizio, Inc.",1:15-cv-00788,D.Del.,2015,  9/8/2015,0,1,"5847774, 6359654, 6490250",3,5847774,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5847774,H04N 5/208 (20060101); H04N 005/21 (),H04N 5/208,H04N 5,H04N   5,9/8/2015,11871,12904,10951,12352,12726,13022,11696,11231,9380,"Wi-LAN USA, Inc.","Vizio, Inc.",816,0,9
2000082009,http://law.lexmachina.com/cases/2000082009,Collabo Innovations Inc. v. Advanced Semiconductor Engineering Inc. et al,1:15-cv-00783,D.Del.,2015,  9/4/2015,0,1,5977613,1,5977613,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5977613,H01L 21/56 (20060101); H01L 23/48 (20060101); H01L 23/31 (20060101); H01L 23/495 (20060101); H01L 23/28 (20060101); H01L 21/02 (20060101); H05K 3/34 (20060101); H01L 023/495 (),H01L 21/56,H01L 21,H01L  21,9/4/2015,22187,22613,20778,19889,20938,22154,20153,18489,14525,Collabo Innovations Inc.,Advanced Semiconductor Engineering Inc. et al,157,1,0
2000082011,http://law.lexmachina.com/cases/10218,"Torq-Masters Technology, Inc. v. Regal-Beloit Corporation",6:05-cv-06597,W.D.N.Y.,2005, 11/9/2005,1,8,5413015,1,5413015,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5413015,F16H 48/00 (20060101); F16H 48/12 (20060101); F16H 048/12 (),F16H 48/00 ,F16H 48,F16H  48,11/9/2005,427,421,326,296,331,345,422,283,472,"Torq-Masters Technology, Inc.",Regal-Beloit Corporation,5550,0,1
2000082035,http://law.lexmachina.com/cases/1000000743,"Dovebid, Inc. v. NCR Corporation",4:02-cv-05909,N.D.Cal.,2002,12/23/2002,1,8,"5699526,5721906,5832496,5951643,6026403,6085223,6151601",7,5699526,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5699526,G06F 1/00 (20060101); G06F 17/30 (20060101); G06F 017/30 (),G06F 1/00 ,G06F 1,G06F   1,12/23/2002,3989,3703,3885,4262,4670,4450,4390,4666,5118,"Dovebid, Inc.",NCR Corporation,2691,1,0
2000082076,http://law.lexmachina.com/cases/2000082076,Intellectual Ventures I LLC v. AT & T Mobility LLC et al,1:15-cv-00799,D.Del.,2015,  9/9/2015,0,1,5960032,1,5960032,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5960032,H04B 1/707 (20060101); H04B 7/26 (20060101); H04B 7/005 (20060101); H04B 001/707 (),H04B 1/707,H04B 1,H04B   1,9/9/2015,3031,3088,2650,3027,2885,3340,2557,2990,2775,Intellectual Ventures I LLC,AT & T Mobility LLC et al,392,1,6
