LMIcaseid,URL,Casetitle,Civilaction,Venue,YearFiled,Filingdate,Declaratoryjudgment,NPECode,Patents,# Of Patents,PrimaryPatent,IPC Url ,IPC,PrimaryClass,First4level,Filingdate1,B4,B3,B2,B1,Q0,A1,A2,A3,A4,Casetitle1,Casetitle2,y,tag,dup,,,,,,,
No Patents Available (On Lex Machina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000099,http://law.lexmachina.com/cases/1000000099,"Unisys Corporation v. Actel Corporation, et al",4:00-cv-01114,N.D.Cal.,2000, 3/29/2000,0,8,No Patents Available from Lex Machina,,,,,,,3/29/2000,Not Available,,,,,,,,,Unisys Corporation,"Actel Corporation, et al",5666,1,0,,,,,,,
1000000100,http://law.lexmachina.com/cases/1000000100,"Freedom Wireless Inc v. Boston Communication, et al",4:00-cv-01129,N.D.Cal.,2000, 3/30/2000,0,5,No Patents Available from Lex Machina,,,,,,,3/30/2000,Not Available,,,,,,,,,Freedom Wireless Inc,"Boston Communication, et al",1087,1,0,,,,,,,
1000000102,http://law.lexmachina.com/cases/1000000102,Dolby Lab. Licensing v. Compal Electronics,3:00-cv-04542,N.D.Cal.,2000, 12/5/2000,0,12,No Patents Available from Lex Machina,,,,,,,12/5/2000,Not Available,,,,,,,,,Dolby Lab. Licensing,Compal Electronics,6531,1,0,,,,,,,
1000000106,http://law.lexmachina.com/cases/1000000106,"Rambus Inc. v. Hitachi LTD, et al",4:00-cv-01716,N.D.Cal.,2000, 4/21/2000,0,1,No Patents Available from Lex Machina,,,,,,,4/21/2000,Not Available,,,,,,,,,Rambus Inc.,"Hitachi LTD, et al",627,1,2,,,,,,,
1000000115,http://law.lexmachina.com/cases/1000000115,"Hitachi, Ltd. v. Nanya Technology, et al",4:00-cv-02891,N.D.Cal.,2000, 8/11/2000,0,8,No Patents Available from Lex Machina,,,,,,,8/11/2000,Not Available,,,,,,,,,"Hitachi, Ltd.","Nanya Technology, et al",3304,1,1,,,,,,,
1000000119,http://law.lexmachina.com/cases/1000000119,"Digital Island, Inc. v. Akamai Technologies",4:00-cv-03782,N.D.Cal.,2000, 9/18/2000,0,8,No Patents Available from Lex Machina,,,,,,,9/18/2000,Not Available,,,,,,,,,"Digital Island, Inc.",Akamai Technologies,2643,1,0,,,,,,,
1000000122,http://law.lexmachina.com/cases/1000000122,"United Microelectron, et al v. Silicon Integrated, et al",4:00-cv-04522,N.D.Cal.,2000, 12/4/2000,0,8,No Patents Available from Lex Machina,,,,,,,12/4/2000,Not Available,,,,,,,,,"United Microelectron, et al","Silicon Integrated, et al",5669,1,0,,,,,,,
1000000128,http://law.lexmachina.com/cases/1000000128,"Replay TV, Inc. v. Phonetel",5:00-cv-20207,N.D.Cal.,2000, 2/23/2000,1,1,No Patents Available from Lex Machina,,,,,,,2/23/2000,Not Available,,,,,,,,,"Replay TV, Inc.",Phonetel,642,1,0,,,,,,,
1000000133,http://law.lexmachina.com/cases/1000000133,"Exar Corporation v. Oxford Semiconductor, et al",5:00-cv-20362,N.D.Cal.,2000, 1/27/2000,0,8,No Patents Available from Lex Machina,,,,,,,1/27/2000,Not Available,,,,,,,,,Exar Corporation,"Oxford Semiconductor, et al",2892,1,0,,,,,,,
1000000134,http://law.lexmachina.com/cases/1000000134,Agen Biomedical Ltd. v. Biopool Internationl,5:00-cv-20466,N.D.Cal.,2000, 3/10/2000,0,8,No Patents Available from Lex Machina,,,,,,,3/10/2000,Not Available,,,,,,,,,Agen Biomedical Ltd.,Biopool Internationl,1659,1,0,,,,,,,
1000000143,http://law.lexmachina.com/cases/1000000143,Teledyne Lighting v. Kopin Corporation,5:00-cv-20762,N.D.Cal.,2000, 7/14/2000,0,8,No Patents Available from Lex Machina,,,,,,,7/14/2000,Not Available,,,,,,,,,Teledyne Lighting,Kopin Corporation,5407,1,0,,,,,,,
