LMIcaseid,URL,Casetitle,Civilaction,Venue,YearFiled,Filingdate,Declaratoryjudgment,NPECode,Patents,# Of Patents,PrimaryPatent,IPC Url ,IPC,PrimaryClass,First4level,Filingdate1,B4,B3,B2,B1,Q0,A1,A2,A3,A4,Casetitle1,Casetitle2,y,tag,dup,,,,,,,
No Patents Available (On Lex Machina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18104,http://law.lexmachina.com/cases/18104,ROBERT PHELPS V. DAVID EDDY,3:00-cv-00140,D.Nev.,2000, 3/20/2000,0,9,No Patents Available from Lex Machina,,,,,,,3/20/2000,Not Available,,,,,,,,,ROBERT PHELPS V. DAVID EDDY,,6381,1,0,,,,,,,
18106,http://law.lexmachina.com/cases/18106,"Planet Bingo LLC v. Advanced Gaming Tech, et al",2:01-cv-01028,D.Ariz.,2001,  6/8/2001,0,8,No Patents Available from Lex Machina,,,,,,,6/8/2001,Not Available,,,,,,,,,Planet Bingo LLC,"Advanced Gaming Tech, et al",4583,1,0,,,,,,,
18110,http://law.lexmachina.com/cases/18110,Robinson & Robinson v. Leather Center Inc,2:00-cv-00338,D.Ariz.,2000, 2/23/2000,0,8,No Patents Available from Lex Machina,,,,,,,2/23/2000,Not Available,,,,,,,,,Robinson & Robinson,Leather Center Inc,4835,1,0,,,,,,,
18111,http://law.lexmachina.com/cases/18111,Warm Springs Composite Products v. Georgia-Pacific Corporation,3:01-cv-01559,D.Or.,2001,10/19/2001,0,8,No Patents Available from Lex Machina,,,,,,,10/19/2001,Not Available,,,,,,,,,Warm Springs Composite Products,Georgia-Pacific Corporation,5818,1,0,,,,,,,
18115,http://law.lexmachina.com/cases/18115,"Pearce v. Nighthawk, et al",2:00-cv-00605,D.Ariz.,2000,  4/5/2000,0,9,No Patents Available from Lex Machina,,,,,,,4/5/2000,Not Available,,,,,,,,,Pearce,"Nighthawk, et al",6350,1,0,,,,,,,
18119,http://law.lexmachina.com/cases/18119,"Protechna S.A. v. Greif, Inc. et al",1:06-cv-01060,N.D.Ga.,2006,  5/3/2006,0,8,No Patents Available from Lex Machina,,,,,,,5/3/2006,Not Available,,,,,,,,,Protechna S.A.,"Greif, Inc. et al",4669,1,0,,,,,,,
18121,http://law.lexmachina.com/cases/18121,"Graphic Packaging International, Inc. v. Smurfit-Stone Container Enterprises, Inc.",1:06-cv-03102,N.D.Ga.,2006,12/21/2006,0,8,No Patents Available from Lex Machina,,,,,,,12/21/2006,Not Available,,,,,,,,,"Graphic Packaging International, Inc.","Smurfit-Stone Container Enterprises, Inc.",3189,0,1,,,,,,,
18129,http://law.lexmachina.com/cases/18129,"K. B. Visions, Inc. v. Stacys Pharmacy, In, et al",1:02-cv-02144,N.D.Ga.,2002,  8/1/2002,0,5,No Patents Available from Lex Machina,,,,,,,8/1/2002,Not Available,,,,,,,,,"K. B. Visions, Inc.","Stacys Pharmacy, In, et al",1176,1,0,,,,,,,
18130,http://law.lexmachina.com/cases/18130,"AHI Cardiovascular v. CR Bard Inc, et al",2:01-cv-02295,D.Ariz.,2001,11/26/2001,0,8,No Patents Available from Lex Machina,,,,,,,11/26/2001,Not Available,,,,,,,,,AHI Cardiovascular,"CR Bard Inc, et al",1671,1,0,,,,,,,
18137,http://law.lexmachina.com/cases/18137,"Rycair, Inc v. Boise Cascade Corp",1:01-cv-00637,D.Idaho,2001,12/28/2001,0,8,No Patents Available from Lex Machina,,,,,,,12/28/2001,Not Available,,,,,,,,,"Rycair, Inc",Boise Cascade Corp,4880,1,0,,,,,,,
18139,http://law.lexmachina.com/cases/18139,"Internet Security Systems, Inc. v. SRI International",1:04-cv-02402,N.D.Ga.,2004, 8/17/2004,1,8,No Patents Available from Lex Machina,,,,,,,8/17/2004,Not Available,,,,,,,,,"Internet Security Systems, Inc.",SRI International,3505,1,0,,,,,,,
18156,http://law.lexmachina.com/cases/18156,"Goldtime Products v. Awesome Products, et al",1:00-cv-02294,N.D.Ga.,2000,  9/1/2000,0,5,No Patents Available from Lex Machina,,,,,,,9/1/2000,Not Available,,,,,,,,,Goldtime Products,"Awesome Products, et al",1101,1,0,,,,,,,
18164,http://law.lexmachina.com/cases/18164,"Holzhaus, et al v. CQB Solutions Inc, et al",2:03-cv-01279,D.Ariz.,2003,  7/7/2003,0,"8, 9",No Patents Available from Lex Machina,,,,,,,7/7/2003,Not Available,,,,,,,,,"Holzhaus, et al","CQB Solutions Inc, et al",7011,1,0,,,,,,,
18181,http://law.lexmachina.com/cases/18181,"Lisa Frank Inc v. Flying Colors Toys, et al",4:03-cv-00271,D.Ariz.,2003, 5/16/2003,1,8,No Patents Available from Lex Machina,,,,,,,5/16/2003,Not Available,,,,,,,,,Lisa Frank Inc,"Flying Colors Toys, et al",3801,1,0,,,,,,,
18189,http://law.lexmachina.com/cases/18189,Farnam Companies Inc v. Loomco International,2:01-cv-01023,D.Ariz.,2001,  6/8/2001,0,8,No Patents Available from Lex Machina,,,,,,,6/8/2001,Not Available,,,,,,,,,Farnam Companies Inc,Loomco International,2922,1,1,,,,,,,
18202,http://law.lexmachina.com/cases/18202,"Belnick, Inc. v. The Ultimate Back Store, Inc",1:07-cv-00960,N.D.Ga.,2007, 4/30/2007,0,8,No Patents Available from Lex Machina,,,,,,,4/30/2007,Not Available,,,,,,,,,"Belnick, Inc.","The Ultimate Back Store, Inc",2091,1,0,,,,,,,
1822,http://law.lexmachina.com/cases/1822,CIBA Specialty Chemicals Corporation v. 3V Inc.,1:06-cv-00629,D.Del.,2006,10/10/2006,0,8,No Patents Available from Lex Machina,,,,,,,10/10/2006,Not Available,,,,,,,,,CIBA Specialty Chemicals Corporation,3V Inc.,2385,1,0,,,,,,,
18236,http://law.lexmachina.com/cases/18236,"Allen Company, Inc., et al v. Tru-Glo, Inc., et al",1:00-cv-02994,N.D.Ga.,2000, 11/9/2000,0,8,No Patents Available from Lex Machina,,,,,,,11/9/2000,Not Available,,,,,,,,,"Allen Company, Inc., et al","Tru-Glo, Inc., et al",1721,1,0,,,,,,,
18263,http://law.lexmachina.com/cases/18263,Scientific-Atlanta v. Sirius Satellite,1:04-cv-00282,N.D.Ga.,2004,  2/3/2004,0,8,No Patents Available from Lex Machina,,,,,,,2/3/2004,Not Available,,,,,,,,,Scientific-Atlanta,Sirius Satellite,4973,1,0,,,,,,,
18267,http://law.lexmachina.com/cases/18267,"Waintroob, et al v. Basch, et al",2:01-cv-01470,D.Ariz.,2001,  8/8/2001,0,"5, 9",No Patents Available from Lex Machina,,,,,,,8/8/2001,Not Available,,,,,,,,,"Waintroob, et al","Basch, et al",6762,1,0,,,,,,,
18280,http://law.lexmachina.com/cases/18280,"Glow Optics, LLC v. The Fishermans Edge, Inc.",1:07-cv-00674,N.D.Ga.,2007, 3/22/2007,0,8,No Patents Available from Lex Machina,,,,,,,3/22/2007,Not Available,,,,,,,,,"Glow Optics, LLC","The Fishermans Edge, Inc.",3160,1,0,,,,,,,
18286,http://law.lexmachina.com/cases/18286,"Selex Communications, Inc. v. Jajah, Inc.",1:07-cv-00813,N.D.Ga.,2007, 4/12/2007,0,5,No Patents Available from Lex Machina,,,,,,,4/12/2007,Not Available,,,,,,,,,"Selex Communications, Inc.","Jajah, Inc.",1369,1,2,,,,,,,
18337,http://law.lexmachina.com/cases/18337,"American Dairy Queen v. Jogee Inc, et al",2:00-cv-00364,D.Ariz.,2000, 2/25/2000,0,8,No Patents Available from Lex Machina,,,,,,,2/25/2000,Not Available,,,,,,,,,American Dairy Queen,"Jogee Inc, et al",1769,1,0,,,,,,,
18347,http://law.lexmachina.com/cases/18347,"Golfswitch Inc v. Tee Connect, LLC",2:06-cv-01406,D.Ariz.,2006, 5/30/2006,0,8,No Patents Available from Lex Machina,,,,,,,5/30/2006,Not Available,,,,,,,,,Golfswitch Inc,"Tee Connect, LLC",3174,1,0,,,,,,,
18368,http://law.lexmachina.com/cases/18368,Microaire Surgical v. Numed LLC,4:00-cv-00608,D.Ariz.,2000,10/27/2000,0,8,No Patents Available from Lex Machina,,,,,,,10/27/2000,Not Available,,,,,,,,,Microaire Surgical,Numed LLC,4037,0,2,,,,,,,
18378,http://law.lexmachina.com/cases/18378,"Jore Corporation v. Kuvato, et al",9:02-cv-00036,D.Mont.,2002, 2/25/2002,0,8,No Patents Available from Lex Machina,,,,,,,2/25/2002,Not Available,,,,,,,,,Jore Corporation,"Kuvato, et al",3606,0,2,,,,,,,
18386,http://law.lexmachina.com/cases/18386,Interlase L.P. v. Spectranetics Corp,1:03-cv-00990,D.Colo.,2003,  6/2/2003,0,5,No Patents Available from Lex Machina,,,,,,,6/2/2003,Not Available,,,,,,,,,Interlase L.P.,Spectranetics Corp,1151,1,0,,,,,,,
18425,http://law.lexmachina.com/cases/18425,"Laughlin Products, Inc v. Claridge, et al",1:02-cv-00522,D.Colo.,2002, 3/14/2002,0,5,No Patents Available from Lex Machina,,,,,,,3/14/2002,Not Available,,,,,,,,,Laughlin Prod Inc,"Claridge, et al",1194,1,1,,,,,,,
18443,http://law.lexmachina.com/cases/18443,"Brockelmann, Jaeger, et al v. Chromalox, Inc.",1:04-cv-00436,N.D.Ga.,2004, 2/17/2004,0,8,No Patents Available from Lex Machina,,,,,,,2/17/2004,Not Available,,,,,,,,,"Brockelmann, Jaeger, et al","Chromalox, Inc.",2219,1,0,,,,,,,
18455,http://law.lexmachina.com/cases/18455,"Laughlin Products, Inc v. Michnal",1:02-cv-00246,D.Colo.,2002,  2/6/2002,0,5,No Patents Available from Lex Machina,,,,,,,2/6/2002,Not Available,,,,,,,,,Laughlin Prod Inc,Michnal,1194,0,2,,,,,,,
18484,http://law.lexmachina.com/cases/18484,"Quark, Inc. v. Barco Graphics nv",1:00-cv-02236,D.Colo.,2000,11/13/2000,0,8,No Patents Available from Lex Machina,,,,,,,11/13/2000,Not Available,,,,,,,,,"Quark, Inc.",Barco Graphics nv,4712,1,0,,,,,,,
18486,http://law.lexmachina.com/cases/18486,"RO-LAND MFG, et al v. Bell Group Inc, et al",4:02-cv-00303,D.Ariz.,2002, 6/17/2002,0,"8, 9",No Patents Available from Lex Machina,,,,,,,6/17/2002,Not Available,,,,,,,,,"RO-LAND MFG, et al","Bell Group Inc, et al",7109,1,0,,,,,,,
18525,http://law.lexmachina.com/cases/18525,LMC Bainbridge LLC et al v. Rankin Equipment Co,3:00-cv-00185,D.Or.,2000,  2/4/2000,0,8,No Patents Available from Lex Machina,,,,,,,2/4/2000,Not Available,,,,,,,,,LMC Bainbridge LLC et al,Rankin Equipment Co,3810,1,0,,,,,,,
18526,http://law.lexmachina.com/cases/18526,"Marianne Barry VS Del Monte Fresh Produce Company, etal",2:04-cv-01275,D.Nev.,2004, 9/13/2004,0,9,No Patents Available from Lex Machina,,,,,,,9/13/2004,Not Available,,,,,,,,,"Marianne Barry VS Del Monte Fresh Produce Company, etal",,6299,1,0,,,,,,,
18545,http://law.lexmachina.com/cases/18545,"Catch Curve, Inc. v. Topcall Corporation",1:06-cv-02200,N.D.Ga.,2006, 9/15/2006,0,1,No Patents Available from Lex Machina,,,,,,,9/15/2006,Not Available,,,,,,,,,"Catch Curve, Inc.",Topcall Corporation,124,0,3,,,,,,,
18556,http://law.lexmachina.com/cases/18556,"Merilab, Inc. v. Perceptron, Inc., et al",1:03-cv-00061,D.Colo.,2003, 1/10/2003,0,8,No Patents Available from Lex Machina,,,,,,,1/10/2003,Not Available,,,,,,,,,"Merilab, Inc.","Perceptron, Inc., et al",4011,1,0,,,,,,,
18567,http://law.lexmachina.com/cases/18567,"Kelly v. WL Gore Assoc, et al",1:00-cv-01691,D.Colo.,2000, 8/25/2000,0,9,No Patents Available from Lex Machina,,,,,,,8/25/2000,Not Available,,,,,,,,,Kelly,"WL Gore Assoc, et al",6256,1,0,,,,,,,
18572,http://law.lexmachina.com/cases/18572,"Pumpkin, Ltd. v. Martha Stewart Livin",1:02-cv-02030,D.Colo.,2002,10/23/2002,0,8,No Patents Available from Lex Machina,,,,,,,10/23/2002,Not Available,,,,,,,,,"Pumpkin, Ltd.",Martha Stewart Livin,4684,1,0,,,,,,,
186,http://law.lexmachina.com/cases/186,Glory LTD et al v. Cummins-Allison Corp,2:04-cv-00236,E.D.Tex.,2004, 6/25/2004,1,8,No Patents Available from Lex Machina,,,,,,,6/25/2004,Not Available,,,,,,,,,Glory LTD et al,Cummins-Allison Corp,3159,1,0,,,,,,,
18601,http://law.lexmachina.com/cases/18601,Pumpkin Ltd. v. Sun Hill Ind Inc,1:00-cv-02024,D.Colo.,2000,10/11/2000,0,8,No Patents Available from Lex Machina,,,,,,,10/11/2000,Not Available,,,,,,,,,Pumpkin Ltd.,Sun Hill Ind Inc,4683,1,0,,,,,,,
18604,http://law.lexmachina.com/cases/18604,"Applied Innov Tech v. Excalibur Elec Inc, et al",1:02-cv-02267,D.Colo.,2002, 12/5/2002,0,8,No Patents Available from Lex Machina,,,,,,,12/5/2002,Not Available,,,,,,,,,Applied Innov Tech,"Excalibur Elec Inc, et al",1848,1,0,,,,,,,
18611,http://law.lexmachina.com/cases/18611,"CO Altitude Tng LLC v. Hypoxico, Inc., et al",1:03-cv-00712,D.Colo.,2003, 4/23/2003,0,8,No Patents Available from Lex Machina,,,,,,,4/23/2003,Not Available,,,,,,,,,CO Altitude Tng LLC,"Hypoxico, Inc., et al",2417,1,0,,,,,,,
18634,http://law.lexmachina.com/cases/18634,"Laughlin Products, Inc v. Glantz Enterprises",1:02-cv-02931,N.D.Ga.,2002,10/28/2002,0,5,No Patents Available from Lex Machina,,,,,,,10/28/2002,Not Available,,,,,,,,,Laughlin Products,Glantz Enterprises,1198,0,1,,,,,,,
18664,http://law.lexmachina.com/cases/18664,"Ecolab, Inc. v. Butchers Company The",1:00-cv-00048,D.Colo.,2000,  1/7/2000,0,8,No Patents Available from Lex Machina,,,,,,,1/7/2000,Not Available,,,,,,,,,"Ecolab, Inc.",Butchers Company The,2777,1,2,,,,,,,
18672,http://law.lexmachina.com/cases/18672,"Dotcast, Inc. v. Movie Gallery, Inc. et al",1:07-cv-01181,N.D.Ga.,2007, 5/23/2007,0,8,No Patents Available from Lex Machina,,,,,,,5/23/2007,Not Available,,,,,,,,,"Dotcast, Inc.","Movie Gallery, Inc. et al",2688,1,0,,,,,,,
18712,http://law.lexmachina.com/cases/18712,AZ Cultured Stone v. Safas Corporation,4:00-cv-00627,D.Ariz.,2000, 11/2/2000,0,8,No Patents Available from Lex Machina,,,,,,,11/2/2000,Not Available,,,,,,,,,AZ Cultured Stone,Safas Corporation,2008,1,0,,,,,,,
18716,http://law.lexmachina.com/cases/18716,"Acterna, LLC, et al v. Adtech, Inc.",1:01-cv-00108,D.Haw.,2001,  2/8/2001,0,8,No Patents Available from Lex Machina,,,,,,,2/8/2001,Not Available,,,,,,,,,"Acterna, LLC, et al","Adtech, Inc.",1611,1,0,,,,,,,
18733,http://law.lexmachina.com/cases/18733,"Case Logic, Inc. v. Bensussen Deutsch",1:03-cv-00207,D.Colo.,2003,  2/3/2003,0,8,No Patents Available from Lex Machina,,,,,,,2/3/2003,Not Available,,,,,,,,,"Case Logic, Inc.",Bensussen Deutsch,2306,1,3,,,,,,,
18738,http://law.lexmachina.com/cases/18738,"TIMCAL SA, et al v. Superior Graphite Co, et al",1:04-cv-00900,N.D.Ga.,2004,  4/1/2004,1,8,No Patents Available from Lex Machina,,,,,,,4/1/2004,Not Available,,,,,,,,,"TIMCAL SA, et al","Superior Graphite Co, et al",5515,1,0,,,,,,,
18743,http://law.lexmachina.com/cases/18743,"Wheel Pros, Inc. v. Performance Wheel, et al",1:02-cv-00799,D.Colo.,2002, 4/22/2002,0,8,No Patents Available from Lex Machina,,,,,,,4/22/2002,Not Available,,,,,,,,,"Wheel Pros, Inc.","Performance Wheel, et al",5887,1,0,,,,,,,
18751,http://law.lexmachina.com/cases/18751,Faxtrax Indus Inc v. Rails Company,1:03-cv-00277,D.Colo.,2003, 2/13/2003,0,8,No Patents Available from Lex Machina,,,,,,,2/13/2003,Not Available,,,,,,,,,Faxtrax Indus Inc,Rails Company,2932,1,0,,,,,,,
18753,http://law.lexmachina.com/cases/18753,"Goody Products, Inc. v. Conair Corporation",1:06-cv-00884,N.D.Ga.,2006, 4/13/2006,0,8,No Patents Available from Lex Machina,,,,,,,4/13/2006,Not Available,,,,,,,,,"Goody Products, Inc.",Conair Corporation,3180,1,0,,,,,,,
18755,http://law.lexmachina.com/cases/18755,"Jacobs v. Mr. Long-Arm, Inc.",1:06-cv-03092,N.D.Ga.,2006,12/20/2006,0,9,No Patents Available from Lex Machina,,,,,,,12/20/2006,Not Available,,,,,,,,,Jacobs,"Mr. Long-Arm, Inc.",6230,1,2,,,,,,,
18757,http://law.lexmachina.com/cases/18757,Dynamis Inc v. Star Technology Inc,2:01-cv-01170,D.Ariz.,2001, 6/25/2001,0,8,No Patents Available from Lex Machina,,,,,,,6/25/2001,Not Available,,,,,,,,,Dynamis Inc,Star Technology Inc,2733,1,0,,,,,,,
18760,http://law.lexmachina.com/cases/18760,Nautilus/Schwinn Fit v. Precor Incorporated,1:02-cv-01483,D.Colo.,2002,  8/1/2002,1,8,No Patents Available from Lex Machina,,,,,,,8/1/2002,Not Available,,,,,,,,,Nautilus/Schwinn Fit,Precor Incorporated,4188,1,0,,,,,,,
18766,http://law.lexmachina.com/cases/18766,"Net Moneyin Inc v. Bank of America, et al",4:01-cv-00104,D.Ariz.,2001, 3/12/2001,0,8,No Patents Available from Lex Machina,,,,,,,3/12/2001,Not Available,,,,,,,,,Net Moneyin Inc,"Bank of America, et al",4209,1,0,,,,,,,
18774,http://law.lexmachina.com/cases/18774,"Fieldturf USA, Inc et al v. Specialty Surfaces International, Inc.",4:06-cv-00224,N.D.Ga.,2006,10/20/2006,0,8,No Patents Available from Lex Machina,,,,,,,10/20/2006,Not Available,,,,,,,,,"Fieldturf USA, Inc et al","Specialty Surfaces International, Inc.",2956,1,0,,,,,,,
18811,http://law.lexmachina.com/cases/18811,"Weber v. Basic Comfort, Inc.",1:01-cv-00923,D.Colo.,2001, 5/21/2001,0,9,No Patents Available from Lex Machina,,,,,,,5/21/2001,Not Available,,,,,,,,,Weber,"Basic Comfort, Inc.",6481,1,0,,,,,,,
18812,http://law.lexmachina.com/cases/18812,"JCC, Ltd., et al v. Tyco Thermal Con LLC",1:03-cv-00137,D.Colo.,2003, 1/23/2003,0,8,No Patents Available from Lex Machina,,,,,,,1/23/2003,Not Available,,,,,,,,,"JCC, Ltd., et al",Tyco Thermal Con LLC,3581,1,0,,,,,,,
18814,http://law.lexmachina.com/cases/18814,"T.A.W. Vehicle Concepts, Inc., et al.  VS P.A.T.C.O. Properties, Inc.",3:03-cv-00068,D.Nev.,2003,  2/5/2003,1,1,No Patents Available from Lex Machina,,,,,,,2/5/2003,Not Available,,,,,,,,,"T.A.W. Vehicle Concepts, Inc., et al.  VS P.A.T.C.O. Properties, Inc.",,722,1,0,,,,,,,
18819,http://law.lexmachina.com/cases/18819,APM Design Lab Inc v. Sagantec North Amer,2:02-cv-01542,D.Ariz.,2002, 8/12/2002,0,8,No Patents Available from Lex Machina,,,,,,,8/12/2002,Not Available,,,,,,,,,APM Design Lab Inc,Sagantec North Amer,1834,1,0,,,,,,,
18820,http://law.lexmachina.com/cases/18820,"Ram Systems LLC, v. Fireball Information Technologies, LLC,",3:04-cv-00450,D.Or.,2004, 3/30/2004,0,8,No Patents Available from Lex Machina,,,,,,,3/30/2004,Not Available,,,,,,,,,"Ram Systems LLC,","Fireball Information Technologies, LLC,",4745,1,0,,,,,,,
18822,http://law.lexmachina.com/cases/18822,"CO St Univ Res Fdn v. Cryolife, Inc.",1:01-cv-00933,D.Colo.,2001, 5/23/2001,0,2,No Patents Available from Lex Machina,,,,,,,5/23/2001,Not Available,,,,,,,,,CO St Univ Res Fdn,"Cryolife, Inc.",836,1,0,,,,,,,
18825,http://law.lexmachina.com/cases/18825,"ASML Netherlands BV, et al v. Nikon Corp, et al",2:02-cv-00609,D.Ariz.,2002,  4/5/2002,0,8,No Patents Available from Lex Machina,,,,,,,4/5/2002,Not Available,,,,,,,,,"ASML Netherlands BV, et al","Nikon Corp, et al",1912,1,0,,,,,,,
18832,http://law.lexmachina.com/cases/18832,"Gillette Company, The et al v. Skyvision Inc. et al",1:05-cv-01355,D.Colo.,2005, 7/20/2005,1,"8, 9",No Patents Available from Lex Machina,,,,,,,7/20/2005,Not Available,,,,,,,,,"Gillette Company, The et al",Skyvision Inc. et al,7000,1,0,,,,,,,
18835,http://law.lexmachina.com/cases/18835,"Ventana Medical v. Vision Systems Ltd, et al",4:03-cv-00003,D.Ariz.,2003,  1/2/2003,0,8,No Patents Available from Lex Machina,,,,,,,1/2/2003,Not Available,,,,,,,,,Ventana Medical,"Vision Systems Ltd, et al",5731,1,0,,,,,,,
18859,http://law.lexmachina.com/cases/18859,"Sievers Instruments v. Hach Company, et al",1:02-cv-00775,D.Colo.,2002, 4/19/2002,0,8,No Patents Available from Lex Machina,,,,,,,4/19/2002,Not Available,,,,,,,,,Sievers Instruments,"Hach Company, et al",5068,1,0,,,,,,,
18862,http://law.lexmachina.com/cases/18862,Auburn v. Rotonics Mfg Inc,1:00-cv-00585,D.Colo.,2000, 3/17/2000,0,9,No Patents Available from Lex Machina,,,,,,,3/17/2000,Not Available,,,,,,,,,Auburn,Rotonics Mfg Inc,6045,1,0,,,,,,,
18882,http://law.lexmachina.com/cases/18882,"Home Gambling Network, Inc. et al v. Kjaer, et al",2:05-cv-01375,D.Nev.,2005,11/14/2005,0,"5, 9",No Patents Available from Lex Machina,,,,,,,11/14/2005,Not Available,,,,,,,,,"Home Gambling Network, Inc. et al","Kjaer, et al",6729,1,0,,,,,,,
18885,http://law.lexmachina.com/cases/18885,Jewell v. Social Security et al,1:06-cv-00727,D.Colo.,2006, 4/18/2006,0,9,No Patents Available from Lex Machina,,,,,,,4/18/2006,Not Available,,,,,,,,,Jewell,Social Security et al,6238,1,0,,,,,,,
18889,http://law.lexmachina.com/cases/18889,Mortenson v. Weidenbach,1:04-cv-03098,D.Or.,2004,11/18/2004,1,9,No Patents Available from Lex Machina,,,,,,,11/18/2004,Not Available,,,,,,,,,Mortenson,Weidenbach,6320,1,0,,,,,,,
189,http://law.lexmachina.com/cases/189,"Bauer et al v. Disco Go Technologies, Inc",2:04-cv-00251,E.D.Tex.,2004,  7/9/2004,0,"8, 9",No Patents Available from Lex Machina,,,,,,,7/9/2004,Not Available,,,,,,,,,Bauer et al,"Disco Go Technologies, Inc",6937,1,0,,,,,,,
18906,http://law.lexmachina.com/cases/18906,Autoxray Inc v. Actron Manufacturing,2:03-cv-01914,D.Ariz.,2003, 10/1/2003,0,8,No Patents Available from Lex Machina,,,,,,,10/1/2003,Not Available,,,,,,,,,Autoxray Inc,Actron Manufacturing,1984,1,0,,,,,,,
18907,http://law.lexmachina.com/cases/18907,"Whiteside, et al v. OC International Inc, et al",2:03-cv-02365,D.Ariz.,2003, 12/1/2003,0,"5, 9",No Patents Available from Lex Machina,,,,,,,12/1/2003,Not Available,,,,,,,,,"Whiteside, et al","OC International Inc, et al",6764,1,0,,,,,,,
18922,http://law.lexmachina.com/cases/18922,"Shesol v. I.V. House, Inc.",1:06-cv-02551,D.Colo.,2006,12/19/2006,1,8,No Patents Available from Lex Machina,,,,,,,12/19/2006,Not Available,,,,,,,,,Shesol,"I.V. House, Inc.",5040,1,0,,,,,,,
18926,http://law.lexmachina.com/cases/18926,"Law, et al v. Sotol Tire Step LLC, et al",2:03-cv-01965,D.Ariz.,2003, 10/8/2003,0,9,No Patents Available from Lex Machina,,,,,,,10/8/2003,Not Available,,,,,,,,,"Law, et al","Sotol Tire Step LLC, et al",6277,1,0,,,,,,,
18938,http://law.lexmachina.com/cases/18938,Katzer et al v. Tanner,3:02-cv-01293,D.Or.,2002, 9/17/2002,0,"8, 9",No Patents Available from Lex Machina,,,,,,,9/17/2002,Not Available,,,,,,,,,Katzer et al,Tanner,7025,1,0,,,,,,,
18942,http://law.lexmachina.com/cases/18942,"PSC Scanning, Inc. v. Metrologic Instruments, Inc",6:04-cv-06150,D.Or.,2004, 5/17/2004,0,8,No Patents Available from Lex Machina,,,,,,,5/17/2004,Not Available,,,,,,,,,"PSC Scanning, Inc.","Metrologic Instruments, Inc",4677,1,0,,,,,,,
18989,http://law.lexmachina.com/cases/18989,Miteq Inc v. Comtech Telecommunic,2:03-cv-00270,D.Ariz.,2003, 2/10/2003,0,8,No Patents Available from Lex Machina,,,,,,,2/10/2003,Not Available,,,,,,,,,Miteq Inc,Comtech Telecommunic,4083,1,0,,,,,,,
19012,http://law.lexmachina.com/cases/19012,Digital Reliance Inc v. CTI Group Holdings,1:03-cv-00247,D.Colo.,2003,  2/7/2003,1,8,No Patents Available from Lex Machina,,,,,,,2/7/2003,Not Available,,,,,,,,,Digital Reliance Inc,CTI Group Holdings,2645,1,0,,,,,,,
19022,http://law.lexmachina.com/cases/19022,"Tranxition Corporation v. Miramar Systems, Incorporated",3:02-cv-00849,D.Or.,2002, 6/24/2002,1,8,No Patents Available from Lex Machina,,,,,,,6/24/2002,Not Available,,,,,,,,,Tranxition Corporation,"Miramar Systems, Incorporated",5573,1,0,,,,,,,
19024,http://law.lexmachina.com/cases/19024,"V-Formation, Inc. v. Salomon/North Amer, et al",1:03-cv-00255,D.Colo.,2003, 2/11/2003,0,8,No Patents Available from Lex Machina,,,,,,,2/11/2003,Not Available,,,,,,,,,"V-Formation, Inc.","Salomon/North Amer, et al",5752,0,1,,,,,,,
19035,http://law.lexmachina.com/cases/19035,Stibolt v. Judy,1:01-cv-00801,D.Colo.,2001,  5/1/2001,0,9,No Patents Available from Lex Machina,,,,,,,5/1/2001,Not Available,,,,,,,,,Stibolt,Judy,6436,1,0,,,,,,,
19099,http://law.lexmachina.com/cases/19099,"Metabolite Laboratories, Inc. v. AmerisourceBergen Corporation et al",1:04-cv-02501,D.Colo.,2004, 12/3/2004,0,"5, 8",No Patents Available from Lex Machina,,,,,,,12/3/2004,Not Available,,,,,,,,,"Metabolite Laboratories, Inc.",AmerisourceBergen Corporation et al,6690,1,0,,,,,,,
19103,http://law.lexmachina.com/cases/19103,"Information Tech Innovation, LLC v. Adobe Systems, Inc.",1:04-cv-01131,D.Colo.,2004,  6/2/2004,0,1,No Patents Available from Lex Machina,,,,,,,6/2/2004,Not Available,,,,,,,,,"Information Tech Innovation, LLC","Adobe Systems, Inc.",372,0,1,,,,,,,
19121,http://law.lexmachina.com/cases/19121,"DashAmerica, Inc. v. Cytech, S.R.L., et al",1:04-cv-01211,D.Colo.,2004, 6/11/2004,0,8,No Patents Available from Lex Machina,,,,,,,6/11/2004,Not Available,,,,,,,,,"DashAmerica, Inc.","Cytech, S.R.L., et al",2574,1,0,,,,,,,
19131,http://law.lexmachina.com/cases/19131,"Andy Wolf, Inc. v. Skateboard World Industries, Inc.",3:01-cv-01615,D.Or.,2001,10/31/2001,0,8,No Patents Available from Lex Machina,,,,,,,10/31/2001,Not Available,,,,,,,,,"Andy Wolf, Inc.","Skateboard World Industries, Inc.",1817,1,0,,,,,,,
19145,http://law.lexmachina.com/cases/19145,"Bison Designs, LLC v. Oriental Trad Co Inc, et al",1:04-cv-01290,D.Colo.,2004, 6/23/2004,0,8,No Patents Available from Lex Machina,,,,,,,6/23/2004,Not Available,,,,,,,,,"Bison Designs, LLC","Oriental Trad Co Inc, et al",2136,0,3,,,,,,,
19149,http://law.lexmachina.com/cases/19149,"Monsanto Company, et al v. Olvey, et al",2:04-cv-02667,D.Ariz.,2004,11/23/2004,0,8,No Patents Available from Lex Machina,,,,,,,11/23/2004,Not Available,,,,,,,,,"Monsanto Company, et al","Olvey, et al",4112,1,0,,,,,,,
